pname,pdesc,upc,sku,Price,uom,pack,pcat,pcat1,pcat2,country,region
Grand Marnier 200ML,Grand Marnier 200ML,#649188900384,#210000003623,12.99,,1,Liqueur,,,,
Karbach Hopadillo 6pk Cans,Karbach Hopadillo 6pk Cans,#855417003010,#210000003624,11.64,,1,Beer,,,,
Karbach Love Street 6pk Cans,Karbach Love Street 6pk Cans,#855417003508,#210000003625,11.64,,1,Beer,,,,
King Palm Mini Rolls 5pk,King Palm Mini Rolls 5pk,#854029008406,#210000003626,5.99,,1,Tobacco,,,,
Little Boomey Cabernet 2016 1.5L,Little Boomey Cabernet 2016 1.5L,#727115004050,#210000003627,9.99,,1,Wine,,,,
Michelob Ultra 12pk Cans,Michelob Ultra 12pk Cans,#018200069918,#210000003628,21.78,,1,Beer,United States,Missouri,,
Miller Lite 12pk Cans 12oz,Miller Lite 12pk Cans 12oz,#034100576363,#210000003629,18.69,,1,Beer,United States,Ohio,,
Monster Green 16oz Can,Monster Green 16oz Can,#070847811169,#210000003630,2.79,,1,Mixers,Energy Drink,,,
New Amsterdam Grapefruit 750ML,New Amsterdam Grapefruit 750ML,#085000023563,#210000003631,18.99,,1,Vodka,,,,
Newdrop Vodka 750mL,Newdrop Vodka 750mL,#855076007022,#210000003632,12.99,,1,Vodka,,,,
Quinta Do Crasto LBV Late Bottled Vintage Port Unfiltered 2013 750ML,Quinta Do Crasto LBV Late Bottled Vintage Port Unfiltered 2013 750ML,#611482990347,#210000003633,26.99,,1,Fortified Wine,,,,
Revitalyte Electrolyte Solution Grape 1L,Revitalyte Electrolyte Solution Grape 1L,#861645000424,#210000003634,8.99,,1,Hydration Drinks,,,,
Socorro Tequila Reposado 750mL,Socorro Tequila Reposado 750mL,#698450754460,#210000003635,39.99,,1,Agave,Tequila,Reposado,,
Swisher Sweets Cherry Dynamite Black Cherry 2ct,Swisher Sweets Cherry Dynamite Black Cherry 2ct,#025900225988,#210000003636,0.99,,1,Tobacco,,,,
TX Whiskey 375mL,TX Whiskey 375mL,#858379003036,#210000003637,24.99,,1,Bourbon,Texas,,,
Zephyr Black London Dry Gin 200mL,Zephyr Black London Dry Gin 200mL,#869641000035,#210000003638,22.99,,1,Gin,,,,
New Amsterdam Pink Whitney 50mL,New Amsterdam Pink Whitney 50mL,#08567507,#210000003639,2.99,,1,Vodka,United States,California,,
2016 Chamisal Vineyards Chardonnay Monterey County,2016 Chamisal Vineyards Chardonnay Monterey County,#857885000249,#210000003640,22.99,,1,Wine,White Wine,Chardonnay,,
2019 II Monticello ‘Argille Rosse’ Vermentino Colli Di Luni,2019 II Monticello ‘Argille Rosse’ Vermentino Colli Di Luni,#879039001742,#210000003641,39.99,,1,Wine,White Wine,Vermentino,,
"IL Monticello 'Groppolo' Colli di Luni Vermentino DOC, 2022","IL Monticello 'Groppolo' Colli di Luni Vermentino DOC, 2022",#879039003784,#210000003642,23.99,,1,Wine,White Wine,Vermentino,,
2019 Wrath EX Sauvignon Blanc,2019 Wrath EX Sauvignon Blanc,#716749000156,#210000003643,19.99,,1,Wine,White Wine,Sauvignon Blanc,,
"Michael Malat Crazy Creatures Grüner Veltliner, 2023","Michael Malat Crazy Creatures Grüner Veltliner, 2023",#9120008894102,#210000003644,22.99,,1,Wine,White Wine,Gruner Veltliner,,
ArteNom 1146 Anejo 750mL,ArteNom 1146 Anejo 750mL,#618115113036,#210000003645,108.99,,1,Agave,Tequila,Blanco,,
Coors Light 12pk Cans 12oz,Coors Light 12pk Cans 12oz,#071990000486,#210000003646,18.19,,1,Beer,,,,
Dekuyper Peppermint 750mL,Dekuyper Peppermint 750mL,#080686353409,#210000003647,11.99,,1,Liqueur,,,,
Dripping Springs Vodka 750mL,Dripping Springs Vodka 750mL,#850010806006,#210000003648,22.99,,1,Vodka,,,,
Fortaleza Reposado 375mL,Fortaleza Reposado 375mL,#7502221969706,#210000003649,42.99,,1,Agave,Tequila,Reposado,,
Jagermeister 375mL,Jagermeister 375mL,#083089660358,#210000003650,14.99,,1,Liqueur,,,,
Licor 43 Horchata 750mL,Licor 43 Horchata 750mL,#029929115466,#210000003651,36.99,,1,Liqueur,,,,
Patron Roca Silver 375ML,Patron Roca Silver 375ML,#721733003082,#210000003652,43.99,,1,Agave,,,,
Sierra Nevada Torpedo Extra IPA 6pk Cans,Sierra Nevada Torpedo Extra IPA 6pk Cans,#083783535426,#210000003653,12.49,,1,Beer,,,,
Squirt 12oz bottle,Squirt 12oz bottle,#078000016406,#210000003654,2.15,,1,Mixers,Soft Drinks,,,
Tepetán Cucumber Mint Spa Day Cold Pressed Margarita Mix 12oz,Tepetán Cucumber Mint Spa Day Cold Pressed Margarita Mix 12oz,#195893427680,#210000003655,8.69,,1,Mixers,Margarita,,,
True Red Party Cups 24pk,True Red Party Cups 24pk,#876718030420,#210000003656,6.99,,1,Accessories,Plastic Products,,,
Tullamore Dew Irish Whiskey 750mL,Tullamore Dew Irish Whiskey 750mL,#083664872466,#210000003657,34.99,,1,Whiskey,,,,
Wonderful Pistachios Sweet Chili 1.25oz,Wonderful Pistachios Sweet Chili 1.25oz,#014113913331,#210000003659,2.19,,1,Food,,,,
Yelibelly Chocolate Covered Oreos 3pk,Yelibelly Chocolate Covered Oreos 3pk,#860002138176,#210000003660,9.99,,1,Food,,,,
"Amirault Saint-Nicolas de Bourgueil 'Les Quarterons', 2017","Amirault Saint-Nicolas de Bourgueil 'Les Quarterons', 2017",#0799220770008,#210000003661,29.99,,1,Wine,Red Wine,Cabernet Franc,,
2017 Kendall Jackson Grand Reserve Chardonnay,2017 Kendall Jackson Grand Reserve Chardonnay,#081584013082,#210000003662,19.99,,1,Wine,,,,
"Catena Malbec, 2022","Catena Malbec, 2022",#098709088580,#210000003663,26.99,,1,Wine,Red Wine,Malbec,,
Acqua Panna Glass Bottle 1L,Acqua Panna Glass Bottle 1L,#041508600309,#210000003664,4.59,,1,Mixers,Still Water,,,
Austin 101 Light Whiskey 750mL,Austin 101 Light Whiskey 750mL,#051497129026,#210000003665,52.99,,1,Whiskey,United States,Texas,,
Baileys Original 750mL,Baileys Original 750mL,#086767210067,#210000003666,39.99,,1,Liqueur,,,,
Barska Classic Vodka,Barska Classic Vodka,#855076007091,#210000003667,14.99,,1,Vodka,,,,
Combier Liqueur D'orange 375ML,Combier Liqueur D'orange 375ML,#736040525851,#210000003668,21.99,,1,Liqueur,,,,
Crown Royal 375mL,Crown Royal 375mL,#087000007604,#210000003669,17.99,,1,Whiskey,,,,
Crown Royal 50ML,Crown Royal 50ML,#08719902,#210000003670,3.99,,1,Whiskey,Canada,,,
Don Julio Blanco 750mL,Don Julio Blanco 750mL,#674545000001,#210000003671,68.99,,1,Agave,Tequila,Blanco,,
Hennessy VS 375mL,Hennessy VS 375mL,#088110150624,#210000003673,32.99,,1,Brandy,Cognac,,,
Jack Daniel's Black 750mL,Jack Daniel's Black 750mL,#082184090466,#210000003674,33.99,,1,Whiskey,United States,Tennessee,,
Lakewood Brewery Lager 6pk Cans,Lakewood Brewery Lager 6pk Cans,#852196004351,#210000003675,11.78,,1,Beer,,,,
Monopolowa Vodka 1.75L,Monopolowa Vodka 1.75L,#086208390716,#210000003676,33.99,,1,Vodka,,,,
Monster Rehab Tea+Lemonade 15oz,Monster Rehab Tea+Lemonade 15oz,#070847003229,#210000003677,2.49,,1,Mixers,Energy Drink,,,
Orderville Modern Times Hazy Mosaic IPA 16oz,Orderville Modern Times Hazy Mosaic IPA 16oz,#810273030051,#210000003678,3.99,,1,Beer,,,,
Parliament 100s,Parliament 100s,#02879129,#210000003679,11.68,,1,Tobacco,,,,
Scott Single Tissue Roll,Scott Single Tissue Roll,#054000472190,#210000003680,1.99,,1,Accessories,Paper Products,,,
Shiner Bock 6pk Cans,Shiner Bock 6pk Cans,#088573331073,#210000003681,11.29,,1,Beer,United States,Texas,,
Smirnoff 100 Proof 375ML,Smirnoff 100 Proof 375ML,#08256209,#210000003682,12.99,,1,Vodka,,,,
Svedka Plastic 375mL,Svedka Plastic 375mL,#617768113752,#210000003683,11.99,,1,Vodka,Sweden,,,
Tio Pepe Palomino Fino Sherry 750mL,Tio Pepe Palomino Fino Sherry 750mL,#087236910006,#210000003684,21.99,,1,Fortified Wine,Sherry,,,
White Claw Surge Cranberry 16oz Can,White Claw Surge Cranberry 16oz Can,#635985000044,#210000003685,3.07,,1,Beer,Seltzer,,,
Yuengling Lager 6pk Bottles,Yuengling Lager 6pk Bottles,#089924278917,#210000003686,11.53,,1,Beer,,,,
Titos Vodka 750mL,Titos Vodka 750mL,#619947000020,#210000003687,24.99,,1,Vodka,United States,Texas,,
2016 Jackson Estate Cabernet Sauvignon Alexander Valley,2016 Jackson Estate Cabernet Sauvignon Alexander Valley,#081584013273,#210000003688,39.99,,1,Wine,,,,
4 Corners El Chingon IPA 6pk Cans,4 Corners El Chingon IPA 6pk Cans,#853907005018,#210000003689,11.78,,1,Beer,United States,Texas,,
Ancient Age Kentucky Straight Bourbon Whiskey 1.75L,Ancient Age Kentucky Straight Bourbon Whiskey 1.75L,#080244002114,#210000003690,19.99,,1,Whiskey,,,,
Bud Light 12pk Cans,Bud Light 12pk Cans,#018200530470,#210000003691,18.69,,1,Beer,,,,
Buffalo Trace Bourbon Cream Liqueur 750mL,Buffalo Trace Bourbon Cream Liqueur 750mL,#080244003715,#210000003692,21.99,,1,Liqueur,Crème,,,
Cakewalk Pop Fizz Clink Gift Bag,Cakewalk Pop Fizz Clink Gift Bag,#876718036163,#210000003693,3.99,,1,Gift Wrapping,,,,
Casamigos Blanco 1L,Casamigos Blanco 1L,#856724006107,#210000003694,73.99,,1,Agave,Tequila,Blanco,,
Crown Royal Peach 750mL,Crown Royal Peach 750mL,#082000782919,#210000003695,39.99,,1,Whiskey,Canada,,,
Jim Beam Original 750mL,Jim Beam Original 750mL,#080686001409,#210000003696,22.99,,1,Bourbon,Kentucky,,,
Lagunitas Little Sumpin' 6pk Cans,Lagunitas Little Sumpin' 6pk Cans,#723830014060,#210000003697,11.98,,1,Beer,,,,
Makers Mark 1.75L,Makers Mark 1.75L,#085246139417,#210000003698,72.99,,1,Bourbon,Kentucky,,,
Malibu Coconut 375mL,Malibu Coconut 375mL,#089540449036,#210000003699,11.99,,1,Rum,Coconut Rum,,,
Manhattan Project Half Life Hazy IPA 6pk Cans,Manhattan Project Half Life Hazy IPA 6pk Cans,#857750008004,#210000003700,15.16,,1,Beer,,,,
Manhattan Project Hoppenheimer West Coast IPA 6pk Cans,Manhattan Project Hoppenheimer West Coast IPA 6pk Cans,#857750008011,#210000003701,13.99,,1,Beer,,,,
Manhattan Project Necessary Evil Pilsner 6pk Cans,Manhattan Project Necessary Evil Pilsner 6pk Cans,#857750008035,#210000003702,12.15,,1,Beer,,,,
New Amsterdam Vodka 375mL,New Amsterdam Vodka 375mL,#085000019481,#210000003703,9.99,,1,Vodka,,,,
Nomadica Red Blend 250mL Can,Nomadica Red Blend 250mL Can,#850438008341,#210000003704,6.99,,1,Wine,Red Wine,Blend,,
San Pellegrino 750mL Glass Bottle,San Pellegrino 750mL Glass Bottle,#041508800129,#210000003705,3.49,,1,Mixers,Sparkling Water,,,
Teavana Strawberry Apple Unsweetened Tea 14.5oz,Teavana Strawberry Apple Unsweetened Tea 14.5oz,#018200258879,#210000003707,3.99,,1,Mixers,,,,
"Terroir Al Límit Soc. Lda. Terra De Cuques, 2014","Terroir Al Límit Soc. Lda. Terra De Cuques, 2014",#8437014045017,#210000003708,49.99,,1,Wine,White Wine,Blend,,
Tupps Alpha Drop IPA 6pk Cans,Tupps Alpha Drop IPA 6pk Cans,#856548007076,#210000003709,15.99,,1,Beer,,,,
Tx Whiskey 1.75ML,Tx Whiskey 1.75ML,#858379003012,#210000003710,85.99,,1,Bourbon,Texas,,,
TX Whiskey 750mL,TX Whiskey 750mL,#858379003005,#210000003711,44.99,,1,Bourbon,Texas,,,
Victory Brewing Sour Monkey 6pk Cans,Victory Brewing Sour Monkey 6pk Cans,#630279776322,#210000003712,15.99,,1,Beer,United States,Pennsylvania,,
Willett Family Estate Bottled Small Batch 4yr Straight Rye 110 Proof 750mL,Willett Family Estate Bottled Small Batch 4yr Straight Rye 110 Proof 750mL,#680203040180,#210000003713,89.99,,1,Bourbon,,,,
Russian Value Vodka 50mL,Russian Value Vodka 50mL,#700118826676,#210000003714,0.99,,1,Vodka,Russia,,,
2019 Basa Lore Txakoli,2019 Basa Lore Txakoli,#8437005419001,#210000003715,14.99,,1,Wine,White Wine,,,
"S-naia Sauvignon Blanc, 2023","S-naia Sauvignon Blanc, 2023",#8437004016010,#210000003716,19.99,,1,Wine,White Wine,Sauvignon Blanc,,
"Austin Hope Paso Robles Cabernet Sauvignon, 2021","Austin Hope Paso Robles Cabernet Sauvignon, 2021",#657891715591,#210000003717,74.99,,1,Wine,Red Wine,Cabernet Sauvignon,,
Bacardi Superior 375ML,Bacardi Superior 375ML,#080480015602,#210000003718,11.99,,1,Rum,,,,
Benedryl Allergy 2 Tablet Pack,Benedryl Allergy 2 Tablet Pack,#559988226611,#210000003719,1.79,,1,Pharmaceutical,,,,
Cragganmore 12YR 750mL,Cragganmore 12YR 750mL,#088110090050,#210000003720,92.99,,1,Whiskey,,,,
Crown Royal 1.75L,Crown Royal 1.75L,#087000700604,#210000003721,71.99,,1,Whiskey,,,,
Crown Royal Vanilla 750mL,Crown Royal Vanilla 750mL,#082000776598,#210000003722,37.99,,1,Whiskey,Canada,,,
George Dickel Rye 750ml,George Dickel Rye 750ml,#082000759454,#210000003723,29.99,,1,Bourbon,,,,
Gunma Izumi Chotoku Junmai Shimzoka Shuzo 720mL,Gunma Izumi Chotoku Junmai Shimzoka Shuzo 720mL,#4535171000079,#210000003724,45.99,,1,Sake,,,,
Halls Relief Drops Honey Lemon Flavor 9pk,Halls Relief Drops Honey Lemon Flavor 9pk,#312546628724,#210000003725,1.99,,1,Pharmaceutical,,,,
Ketel One 1.75L,Ketel One 1.75L,#085156803682,#210000003726,59.99,,1,Vodka,Netherlands,,,
Michelob Ultra 6pk Bottles,Michelob Ultra 6pk Bottles,#018200059896,#210000003727,11.38,,1,Beer,United States,Missouri,,
Nicolas Feuillatte Reserve Exclusive Brut,Nicolas Feuillatte Reserve Exclusive Brut,#088586003899,#210000003728,54.99,,1,Champagne,,,,
Puffs Plus Lotion Tissue 2-Ply 132 Count,Puffs Plus Lotion Tissue 2-Ply 132 Count,#037000792574,#210000003729,3.99,,1,Accessories,Paper Products,,,
Revitalyte Electrolyte Solution Berry Frost 1L,Revitalyte Electrolyte Solution Berry Frost 1L,#861645000448,#210000003730,8.99,,1,Hydration Drinks,,,,
Smart Water Bottle 20oz,Smart Water Bottle 20oz,#786162200433,#210000003731,2.49,,1,Mixers,Still Water,,,
Svedka 1.75L,Svedka 1.75L,#617768111178,#210000003732,28.99,,1,Vodka,Sweden,,,
Troop Rum Mojito 4pk Cans,Troop Rum Mojito 4pk Cans,#857853008024,#210000003733,15.99,,1,Ready To Drink,,,,
"2019 Chateau Musar ""Hochar"" Pere et Fils","2019 Chateau Musar ""Hochar"" Pere et Fils",#611482060149,#210000003734,39.99,,1,Wine,Red Wine,Blend,,
2017 Stags' Leap Wine Cellars Artemis Cabernet Sauvignon,2017 Stags' Leap Wine Cellars Artemis Cabernet Sauvignon,#088593700200,#210000003735,79.99,,1,Wine,,,,
2018 Paladin Pinot Grigio Ramato,2018 Paladin Pinot Grigio Ramato,#8006297006086,#210000003736,11.99,,1,Wine,,,,
Bosco del Merlo Pinot Grigio Skin Contact,Bosco del Merlo Pinot Grigio Skin Contact,#8006297005980,#210000003737,16.99,,1,Wine,White Wine,Pinot Grigio,,
2019 J. de Villebois Touraine Sauvignon Blanc,2019 J. de Villebois Touraine Sauvignon Blanc,#3760189780533,#210000003738,13.99,,1,Wine,,,,
A&W Rootbeer 20oz,A&W Rootbeer 20oz,#078000052404,#210000003739,2.49,,1,Mixers,,,,
Bacardi Banana 200mL,Bacardi Banana 200mL,#080480007195,#210000003740,4.99,,1,Rum,White,,,
Bud Light Clamato 25oz Can,Bud Light Clamato 25oz Can,#018200255083,#210000003741,3.19,,1,Beer,,,,
Cimarron Reposado 375mL,Cimarron Reposado 375mL,#741638323009,#210000003742,19.99,,1,Agave,,,,
Coors Light 24oz Can,Coors Light 24oz Can,#071990300654,#210000003743,3.29,,1,Beer,,,,
Deep Ellum Brewery IPA 6pk Cans,Deep Ellum Brewery IPA 6pk Cans,#859891003078,#210000003744,12.29,,1,Beer,United States,Texas,,
Espolon Blanco 750mL,Espolon Blanco 750mL,#721059707503,#210000003745,39.99,,1,Agave,Tequila,Blanco,,
Jose Cuervo Especial Silver 750mL,Jose Cuervo Especial Silver 750mL,#811538010856,#210000003746,27.99,,1,Agave,Tequila,Blanco,,
Makers Mark 200ML,Makers Mark 200ML,#085246139462,#210000003747,9.99,,1,Whiskey,,,,
Old Tub Kentucky Straight Bourbon Whiskey 750mL,Old Tub Kentucky Straight Bourbon Whiskey 750mL,#080686176022,#210000003748,34.99,,1,Bourbon,,,,
Paul Masson Grande Amber VSOP Brandy 375ML,Paul Masson Grande Amber VSOP Brandy 375ML,#021296006552,#210000003749,6.99,,1,Brandy,,,,
Red Bull Sugar Free 8.4oz,Red Bull Sugar Free 8.4oz,#611269101713,#210000003750,3.49,,1,Mixers,Energy Drink,,,
Sierra Nevada Hazy Little Thing IPA 6pk Cans,Sierra Nevada Hazy Little Thing IPA 6pk Cans,#083783110104,#210000003751,12.54,,1,Beer,,,,
Stella Artois 6pk Bottles,Stella Artois 6pk Bottles,#786150000014,#210000003752,12.34,,1,Beer,,,,
Titos Vodka 375mL,Titos Vodka 375mL,#619947000051,#210000003753,14.99,,1,Vodka,United States,Texas,,
2018 Vicius Rias Baizas Albarino,2018 Vicius Rias Baizas Albarino,#458464878699,#210000003754,29.99,,1,Wine,White Wine,Albariño,,
Angostura Orange Bitters 4oz,Angostura Orange Bitters 4oz,#075496331143,#210000003755,14.99,,1,Mixers,,,,
Canada Dry Tonic Water 1L,Canada Dry Tonic Water 1L,#078000153453,#210000003756,3.49,,1,Mixers,Tonic Water,,,
Crown Royal Regal Apple 750mL,Crown Royal Regal Apple 750mL,#082000771562,#210000003757,39.99,,1,Whiskey,,,,
Deep Eddy Peach 50mL,Deep Eddy Peach 50mL,#856065002561,#210000003758,1.99,,1,Vodka,United States,Texas,,
High Noon Vodka Seltzer Black Cherry 4pk Cans,High Noon Vodka Seltzer Black Cherry 4pk Cans,#085000429273,#210000003759,12.69,,1,Beer,Seltzer,,,
Infinity Premium Vodka 750ML,Infinity Premium Vodka 750ML,#758277145848,#210000003760,34.99,,1,Vodka,,,,
Miller Lite 24oz Can,Miller Lite 24oz Can,#03435515,#210000003761,3.22,,1,Beer,United States,Ohio,,
Topo Chico Hard Seltzer Variety 12pk Cans,Topo Chico Hard Seltzer Variety 12pk Cans,#021136180879,#210000003762,22.99,,1,Beer,Seltzer,,,
2015 Cappellano Barolo Pie Rupestris-Nebioli,2015 Cappellano Barolo Pie Rupestris-Nebioli,#554871236022,#210000003763,154.99,,1,Wine,Red Wine,Barolo,,
1 More Round Wood Ring Beer Opener,1 More Round Wood Ring Beer Opener,#013964859416,#210000003764,8.99,,1,Accessories,,,,
123 Organic Tequila Reposado 750mL,123 Organic Tequila Reposado 750mL,#7503013136214,#210000003765,64.99,,1,Agave,Tequila,Reposado,,
135° East Hyogo Dry Gin 750mL,135° East Hyogo Dry Gin 750mL,#080368580031,#210000003766,36.99,,1,Gin,Japan,,,
1792 Bottled In Bond 750mL,1792 Bottled In Bond 750mL,#088004027971,#210000003767,99.99,,1,Bourbon,Kentucky,,,
1792 Single Barrel 750mL,1792 Single Barrel 750mL,#080660001142,#210000003768,99.99,,1,Bourbon,Kentucky,,,
2008 Clos Triguedina Probus Malbec Grand Vin de Cahors,2008 Clos Triguedina Probus Malbec Grand Vin de Cahors,#089419629071,#210000003769,69.99,,1,Wine,Red Wine,Malbec,,
2012 Armas Areni Red,2012 Armas Areni Red,#4850013980068,#210000003770,23.99,,1,Wine,Red Wine,Blend,,
2012 Stift Goettweig Silberbichl Riesling,2012 Stift Goettweig Silberbichl Riesling,#9008682100460,#210000003771,39.99,,1,Wine,White Wine,Riesling,,
2013 Heintz Pinot Noir Swan Selection,2013 Heintz Pinot Noir Swan Selection,#094922001139,#210000003772,39.99,,1,Wine,,,,
2013 Quinta da Manoella,2013 Quinta da Manoella,#5600771018256,#210000003773,69.99,,1,Wine,,,,
2013 Raineri Barolo,2013 Raineri Barolo,#8054085600428,#210000003774,46.99,,1,Wine,,,,
2014 Castello di Neive Basarin Dolcetto d'Alba,2014 Castello di Neive Basarin Dolcetto d'Alba,#837042002101,#210000003775,18.99,,1,Wine,,,,
2014 Flanagan Russian River Valley Chardonnay,2014 Flanagan Russian River Valley Chardonnay,#35262426242,#210000003776,52.99,,1,Wine,White Wine,Chardonnay,,
2018 The Paring Cabernet Blend,2018 The Paring Cabernet Blend,#816068010093,#210000003777,27.99,,1,Wine,Red Wine,Blend,,
"2014 Vistalba Corte ""C"" Malbec-Cabernet Sauvignon","2014 Vistalba Corte ""C"" Malbec-Cabernet Sauvignon",#894556002188,#210000003778,14.99,,1,Wine,Red Wine,Malbec,,
"Cheveau Pouilly-Fuissé Aux Bouthieres 1.5L, 2015","Cheveau Pouilly-Fuissé Aux Bouthieres 1.5L, 2015",#290138748392,#210000003779,99.99,,1,Wine,White Wine,Chardonnay,,
2015 Domaine de I'Ecu Granite Muscadet,2015 Domaine de I'Ecu Granite Muscadet,#366662444663,#210000003780,19.99,,1,Wine,White Wine,Muscadet,,
2015 Immich-Batterieberg CAI Riesling,2015 Immich-Batterieberg CAI Riesling,#610373580568,#210000003781,18.99,,1,Wine,,,,
2015 Mount Eden Vineyards Estate Chardonnay,2015 Mount Eden Vineyards Estate Chardonnay,#791066123474,#210000003782,74.99,,1,Wine,,,,
2016 Chateau Faugeres Saint-Emilion,2016 Chateau Faugeres Saint-Emilion,#3760001061697,#210000003783,69.99,,1,Wine,,,,
"2016 Chateau Guiot ""Paulinette"" Costieres de Nîmes","2016 Chateau Guiot ""Paulinette"" Costieres de Nîmes",#639737617085,#210000003784,21.99,,1,Wine,,,,
2016 Château Peyros Madiran Tannat-Cabernet Franc,2016 Château Peyros Madiran Tannat-Cabernet Franc,#659651086293,#210000003785,22.99,,1,Wine,Red Wine,Blend,,
"2016 Culmina Decora Riesling, British Columbia","2016 Culmina Decora Riesling, British Columbia",#827413000508,#210000003786,19.99,,1,Wine,,,,
2016 Domaine Grossot Chablis 1er Vaucoupin,2016 Domaine Grossot Chablis 1er Vaucoupin,#750103311373,#210000003787,39.99,,1,Wine,,,,
2016 La del Terreno,2016 La del Terreno,#212199992121,#210000003788,31.99,,1,Closeout sale!!,,,,
"Nelle Grenache, 2016","Nelle Grenache, 2016",#333322223333,#210000003789,44.99,,1,Wine,Red Wine,Grenache (Garnacha),,
2016 Rimapere Pinot Noir,2016 Rimapere Pinot Noir,#9421004553445,#210000003790,34.99,,1,Wine,,,,
2016 Ronchi di Cialla Ribolla Nera,2016 Ronchi di Cialla Ribolla Nera,#092299229290,#210000003791,22.99,,1,Wine,,,,
2016 Smith Devereux Cabernet Sauvignon,2016 Smith Devereux Cabernet Sauvignon,#869156000056,#210000003792,49.99,,1,Wine,Red Wine,Cabernet Sauvignon,,
2017 Bastianich Fiulano,2017 Bastianich Fiulano,#8033638980668,#210000003793,15.99,,1,Wine,,,,
2017 Chateau Juvenal La Terre du Petit Homme Ventoux,2017 Chateau Juvenal La Terre du Petit Homme Ventoux,#639737633856,#210000003794,17.99,,1,Wine,,,,
2017 Clément Menetou-Salon,2017 Clément Menetou-Salon,#750101330420,#210000003795,21.99,,1,Wine,,,,
2017 Domaine Felines Jourdan Picpoul De Pinet,2017 Domaine Felines Jourdan Picpoul De Pinet,#810998010079,#210000003796,19.99,,1,Wine,White Wine,Picpoul,,
2017 Hanzell Sebella Chardonnay,2017 Hanzell Sebella Chardonnay,#040232096082,#210000003797,39.99,,1,Wine,,,,
2017 Sanford Sta. Rita Hills Pinot Noir,2017 Sanford Sta. Rita Hills Pinot Noir,#086891072913,#210000003798,45.99,,1,Wine,,,,
2018 Aizpurua Txakoli Rosado,2018 Aizpurua Txakoli Rosado,#2112345678900,#210000003799,19.99,,1,Wine,,,,
2018 Coenobium Ruscum Bianco,2018 Coenobium Ruscum Bianco,#811644010290,#210000003800,41.99,,1,Wine,White Wine,Blend,,
2019 Gran Moraine Yamhill Carlton Oregon Pinot Noir,2019 Gran Moraine Yamhill Carlton Oregon Pinot Noir,#862442000013,#210000003801,69.99,,1,Wine,Red Wine,Pinot Noir,,
2018 Laberinto Sauvignon Blanc,2018 Laberinto Sauvignon Blanc,#7804632830065,#210000003802,18.99,,1,Wine,,,,
2018 Pahlmeyer Chardonnay,2018 Pahlmeyer Chardonnay,#123451877102,#210000003803,105.99,,1,Wine,,,,
2018 Raul Perez Albarino Sketch,2018 Raul Perez Albarino Sketch,#777755338222,#210000003804,89.99,,1,Wine,White Wine,Albariño,,
2018 Weixelbaum Ried Wechselberg Grüner Veltliner,2018 Weixelbaum Ried Wechselberg Grüner Veltliner,#9120028070210,#210000003805,22.99,,1,Wine,,,,
2019 Backsberg Pinotage Rose,2019 Backsberg Pinotage Rose,#657755000320,#210000003806,13.99,,1,Wine,Rosé,,,
2019 Fidora Pinot Grigio,2019 Fidora Pinot Grigio,#8053369642079,#210000003807,13.99,,1,Wine,White Wine,Pinot Grigio,,
2019 II Monticello ‘Argille Grigio’ Vermentino Colli Luni,2019 II Monticello ‘Argille Grigio’ Vermentino Colli Luni,#879039001575,#210000003808,39.99,,1,Wine,White Wine,Vermentino,,
2019 Les Athlétes Du Vin Touraine Chenin Blanc,2019 Les Athlétes Du Vin Touraine Chenin Blanc,#3760087931358,#210000003809,18.99,,1,Wine,,,,
2020 SPRKL Prosecco Rosè,2020 SPRKL Prosecco Rosè,#860002235752,#210000003810,22.99,,1,Sparkling Wine,Rosė,,,
"Little Darling Sauvignon Blanc, 2023","Little Darling Sauvignon Blanc, 2023",#9421900122301,#210000003811,29.99,,1,Wine,White Wine,Sauvignon Blanc,,
5 Gum Peppermint Cobalt,5 Gum Peppermint Cobalt,#022000005120,#210000003812,2.89,,1,Food,Gum,,,
A&W Rootbeer Zero Sugar 20oz,A&W Rootbeer Zero Sugar 20oz,#078000053401,#210000003813,2.49,,1,Mixers,,,,
Absolut Watermelon 750mL,Absolut Watermelon 750mL,#835229010994,#210000003814,28.99,,1,Vodka,,,,
Acre Miss Addies Blackberry Sage Tea Vodka,Acre Miss Addies Blackberry Sage Tea Vodka,#855429006146,#210000003815,21.99,,1,Vodka,,,,
Agavales Anejo Tequila 750mL,Agavales Anejo Tequila 750mL,#009016019761,#210000003816,49.99,,1,Agave,Tequila,Anejo,,
Agavales Reposado Tequila 1.75L,Agavales Reposado Tequila 1.75L,#009016019808,#210000003817,69.99,,1,Agave,Tequila,Reposado,,
Agavales Tequila Anejo 1.75L,Agavales Tequila Anejo 1.75L,#009016019785,#210000003818,79.99,,1,Agave,Tequila,Anejo,,
Town Branch Rye 100 Proof 750mL,Town Branch Rye 100 Proof 750mL,#747301022712,#210000003819,54.99,,1,Whiskey,,,,
"Amirault Cremant de Loire ""Les Quarterons""","Amirault Cremant de Loire ""Les Quarterons""",#992299339944,#210000003820,34.99,,1,Sparkling Wine,Cremant,,,
Ancho Reyes Chile Liqueur 750mL,Ancho Reyes Chile Liqueur 750mL,#083664873166,#210000003821,47.99,,1,Liqueur,,,,
Arak Razzouk 750mL,Arak Razzouk 750mL,#739949800012,#210000003822,27.99,,1,Liqueur,,,,
